train_loss,train_acc,val_loss,val_acc,learning_rate
0.847857654094696,0.490625,0.690240478515625,0.503125,9.938441702975689e-05
0.7430878639221191,0.50703125,0.686566162109375,0.51875,9.755282581475769e-05
0.7066534996032715,0.54296875,0.6139659881591797,0.65,9.45503262094184e-05
0.6019143700599671,0.7125,0.6005677223205567,0.709375,9.045084971874738e-05
0.5536574482917785,0.728125,0.5495334148406983,0.7375,8.535533905932738e-05
0.5180689543485641,0.7734375,0.5219223022460937,0.75625,7.938926261462366e-05
0.44454995878040793,0.8125,0.6142183601856231,0.71875,7.269952498697734e-05
0.4460396483540535,0.8046875,0.555957967042923,0.725,6.545084971874738e-05
0.37174175241962076,0.84921875,0.5812029778957367,0.70625,5.782172325201156e-05
0.32617371790111066,0.8625,0.7204327240586281,0.734375,5.000000000000001e-05
0.2504075654782355,0.9,0.6036469973623753,0.775,4.217827674798848e-05
0.28043346032500266,0.89296875,0.669317576289177,0.759375,3.454915028125264e-05
0.22247219923883677,0.92265625,0.7043381057679653,0.76875,2.730047501302267e-05
0.18732151109725237,0.93203125,0.7371127974241972,0.759375,2.0610737385376356e-05
0.18540691323578357,0.93359375,0.7175605803728103,0.76875,1.464466094067263e-05
0.19097668593749403,0.94296875,0.7675697397440672,0.76875,9.549150281252635e-06
0.1734852645546198,0.94140625,0.7834960639476776,0.78125,5.4496737905816115e-06
0.14356115665286778,0.94609375,0.7306393191218377,0.775,2.4471741852423237e-06
0.13988503077998757,0.9515625,0.7483450815081596,0.771875,6.155829702431171e-07
0.15426129912957548,0.94921875,0.756632637232542,0.790625,0.0
